,title,year,day,month,country,hazard
0,Recall Notification: FSIS-024-94,1994,7,1,us,listeria monocytogenes
1,Recall Notification: FSIS-033-94,1994,10,3,us,listeria spp
2,Recall Notification: FSIS-014-94,1994,28,3,us,listeria monocytogenes
3,Recall Notification: FSIS-009-94,1994,3,4,us,plastic fragment
4,Recall Notification: FSIS-001-94,1994,1,7,us,plastic fragment
5,Recall Notification: FSIS-044-94,1994,11,8,us,escherichia coli
6,Recall Notification: FSIS-005-94,1994,2,9,us,listeria monocytogenes
7,Recall Notification: FSIS-045-94,1994,11,10,us,plastic fragment
8,Recall Notification: FSIS-018-94,1994,5,12,us,plastic fragment
9,Recall Notification: FSIS-026-94,1994,7,12,us,"antibiotics, vet drugs"
10,Recall Notification: FSIS-002-95,1995,1,5,us,plastic fragment
11,Recall Notification: FSIS-021-95,1995,5,5,us,listeria spp
12,Recall Notification: FSIS-025-95,1995,30,5,us,listeria monocytogenes
13,Recall Notification: FSIS-038-95,1995,11,6,us,listeria monocytogenes
14,Recall Notification: FSIS-041-95,1995,12,7,us,sulfamethazine unauthorised
15,Recall Notification: FSIS-006-95,1995,2,8,us,salmonella
16,Recall Notification: FSIS-003-95,1995,1,10,us,listeria monocytogenes
17,Recall Notification: FSIS-009-96,1996,4,3,us,listeria spp
18,Recall Notification: FSIS-017-96,1996,8,5,us,escherichia coli
19,Recall Notification: FSIS-024-96,1996,12,9,us,listeria monocytogenes
20,Recall Notification: FSIS-023-96,1996,11,12,us,incorrect labeling
21,Recall Notification: FSIS-006-97,1997,6,2,us,listeria spp
22,Recall Notification: FSIS-016-97,1997,9,3,us,plastic fragment
23,Recall Notification: FSIS-022-97,1997,10,3,us,listeria spp
24,Recall Notification: FSIS-021-97,1997,10,3,us,escherichia coli
25,Recall Notification: FSIS-010-97,1997,3,7,us,escherichia coli
26,Recall Notification: FSIS-023-97,1997,10,7,us,plastic fragment
27,Recall Notification: FSIS-014-97,1997,8,11,us,sulfamethazine unauthorised
28,Recall Notification: FSIS-018-97,1997,9,11,us,escherichia coli
29,Recall Notification: FSIS-015-97,1997,8,12,us,escherichia coli
30,Recall Notification: FSIS-017-97,1997,9,12,us,salmonella
31,Balfour Wauchope—Cake with Icing,1998,14,1,au,taste disturbance
32,Hans Continental Smallgoods—Latvian Liverwurst,1998,4,3,au,abnormal smell
33,Recall Notification: FSIS-011-98,1998,24,3,us,allergens
34,Archive - ALLERGY ALERT - UNDECLARED SOY PROTEIN AND SOY LECITHIN IN DUNCAN HINES WHITE CAKE MIX,1998,26,3,ca,soybeans and products thereof
35,Recall Notification: FSIS-017-98,1998,6,4,us,listeria monocytogenes
36,Allfect Ltd—Ghost Drop Lollies,1998,17,4,au,metal fragment
37,Recall Notification: FSIS-037-98,1998,11,5,us,escherichia coli
38,Recall Notification: FSIS-020-98,1998,7,6,us,escherichia coli
39,Alba Gelati,1998,10,6,au,salmonella
40,Franklins Limited—Frozen Chicken Nuggets,1998,29,6,au,incorrect labeling
41,Franklins Ltd—Big Fresh & Franklins Fresh Labelled Cakes,1998,5,8,au,milk and products thereof
42,Tarac Australia—Beenleigh Dark Rum,1998,10,8,au,glass fragment
43,Recall Notification: FSIS-035-98,1998,22,10,us,listeria monocytogenes
44,Archive - PRODUCT ALERT - POSSIBLE BOTULISM TOXIN IN ULIVETO DEL SAPORE BRAND GIANT OLIVES TUSCAN STYLE,1998,27,11,ca,clostridium botulinum
45,Recall Notification: FSIS-023-98,1998,8,12,us,escherichia coli
46,Woolworths Limited—Home Brand—Assorted Biscuits,1998,11,12,au,other not classified chemical hazards
47,Liquorland—Scotch Whisky—Hankey Bannister,1999,15,1,au,glass fragment
48,Coles Myer Supermarkets—Value Bag Choc Sultanas,1999,19,1,au,peanuts and products thereof
49,Blue Lotus Foods—Tofu Cutlets,1999,19,2,au,other not classified biological hazards
50,Kooka's Country Cookies—Choc Coated Assorted,1999,24,2,au,peanuts and products thereof
51,"Jalong Goat Dairy—Frozen Goat Milk, Soft Cheese & Fetta",1999,12,3,au,other not classified biological hazards
52,Coles Myer Supermarkets—Chocolate Sultanas 400gm,1999,19,3,au,peanuts and products thereof
53,Kmart—Boxed Chocolates And Easter Chocolate Items,1999,19,3,au,spoilage
54,Uncle Tobys—Bluebird Dunkaroos Biscuits,1999,19,3,au,metal fragment
55,Haberfields—Country Fresh Thickened Cream,1999,13,4,au,listeria monocytogenes
56,Green's—Pastry Mix,1999,6,5,au,metal fragment
57,Coles—Eucalyptus & Honey Tea Recipe,1999,7,5,au,incorrect labeling
58,Ricegrowers' Co-operative—Long Grain Jasmine Rice,1999,15,6,au,stones
59,Eggs and products thereof in ice cream by Island Farms Dairy from Canada,1999,25,6,ca,eggs and products thereof
60,Nestle—Billabong chocolate ice cream 8 pack,1999,12,7,au,taste disturbance
61,Henry Jones Foods—Allowrie Fruit Of The Forest Jam,1999,30,7,au,glass fragment
62,Tan & Co. Pty Ltd—Frozen coconut milk with Taro (ice cream),1999,30,7,au,coliforms
63,National Foods Ltd—Yo-Split Vanilla Yogurt with Muesli 'n Fruit,1999,6,8,au,almond
64,Franklins Ltd—No Frills—Chocolate mint slice biscuits,1999,24,8,au,metal fragment
65,Koh-kae—Peanuts coconut cream flavour,1999,27,8,au,Aflatoxin
66,Green Valley Dairy—Cheese 100% Pure Cow's milk,1999,31,8,au,other not classified biological hazards
67,Blue Lotus—Organic tofu hakea & smoked tofu,1999,2,9,au,other not classified biological hazards
68,Acquilla Bulk Trading—Sasso Pasta D'acciughe Linea Mare anchovies paste,1999,7,9,au,toxin
69,Oriental Merchant—Koh-kae peanuts coconut cream flavour,1999,7,9,au,Aflatoxin
70,Princi Smallgoods—Fermented Dry Italian sausage cacciatore,1999,24,9,au,escherichia coli
71,PRESENCE OF UNDECLARED PEANUT BUTTER IN CHOCOLATE ICE CREAM CAKE MANUFACTURED BY ICE CREAM UNLIMITED INC.,1999,20,10,ca,peanuts and products thereof
72,Pura And Woolworths—Whole Milk,1999,28,10,au,listeria monocytogenes
73,John West—Scottish sardines In vegetable oil,1999,17,11,au,packaging defect
74,Simplot Australia—Frozen Neptune Black Tiger Prawns,1999,30,12,au,vibrio spp
75,Woolworths Limited—Homebrand Corn & Chicken flavour noodles,2000,7,1,au,chemical compound (high content)
76,Valcorp Fine Foods—Gee Vee mild chillies in brine,2000,24,2,au,yeasts
77,Pauls—Breaka chocolate UHT milk,2000,8,3,au,spoilage
78,Coles Supermarkets—Farmland sausage meat,2000,4,5,au,metal fragment
79,Norco Co-Operative—Richmond Vanilla Icecream,2000,12,8,au,glass fragment
80,National Foods Ltd—Fruche,2000,21,8,au,metal fragment
81,Pixie Ice Cream—Berry Koolick flavour Ice Blocks,2000,21,8,au,listeria monocytogenes
82,Fidlers Choice—Tasty Cheese,2000,25,8,au,listeria monocytogenes
83,Delight Dim Sum—Siu Mai,2000,25,8,au,peanuts and products thereof
84,Franklins Ltd—First Choice Young Corn Cuts,2000,21,9,au,packaging defect
85,Buderim Ginger Ltd—Ginger Lemon & Lime Marmalade,2000,26,10,au,glass fragment
86,Pura—UHT (long life) Whole Milk,2000,31,10,au,spoilage
87,Bluebird—Incredibites Choc/Hazelnut Snack,2000,28,11,au,other not classified biological hazards
88,"Recall Notification Report 075-2000, Expanded",2000,11,12,us,listeria monocytogenes
89,Turkey And Chicken Products Recalled From Texas Plant For PossibleListeria Contamination,2000,14,12,us,listeria monocytogenes
90,Recall Notification Report 006-2001,2001,9,2,us,listeria monocytogenes
91,Coles—Chewy Oat and Raisin and Anzac Cookies,2001,15,2,au,peanuts and products thereof
92,Indiana Firm Recalls Duckling Products,2001,19,2,us,listeria monocytogenes
93,Nutella—Hazelnut Spread in Collectable Glasses,2001,30,3,au,glass fragment
94,Sweet Success—Cherry & Coconut Chocolate Bar 90gm,2001,12,4,au,other not classified allergen hazards
95,"Jalong Goat Dairy—Plain Gormet Fetta, Fetta with Chives and Fetta with Sun-dried Tomato and Olives",2001,7,5,au,escherichia coli
96,Cadbury—250g Hazelnut Block Chocolate,2001,29,5,au,plastic fragment
97,Darling Downs Bacon—Boneless Champagne Leg Ham,2001,2,7,au,listeria monocytogenes
98,Gulsan—Halva (Middle eastern sweet also known as Helva or Halwa),2001,26,7,au,salmonella
99,Ceren—Halva (Middle Eastern Sweet),2001,31,7,au,salmonella
100,Pagasa—Dried Mackeral,2001,31,7,au,toxin
101,Harkola Pty Ltd—Halawa with Pistachios (Middle Eastern Sweet also known as helva or halwa),2001,14,8,au,salmonella
102,Big M—Chocolate flavoured Milk,2001,14,8,au,other not classified biological hazards
103,Wanjashan—Soy Sauce,2001,20,8,au,chemical compound (high content)
104,Golden Mountain—Soya Bean Sauce,2001,28,8,au,chemical
105,Oriental Merchant Pty Ltd—Shandong Peanuts (Peanuts in Shells),2001,10,9,au,salmonella
106,Cadbury—Teeny Freddo Ice Cream and Party Cake,2001,20,9,au,plastic fragment
107,"Heinz—Spaghetti In Tomato Sauce, Spaghetti Bolognese & Spaghetti Oops.",2001,21,9,au,rubber fragments
108,Polycyclic aromatic hydrocarbons in olive pomace oil by Aris Calamata from Greece,2001,1,10,ca,polycyclic aromatic hydrocarbons
109,"Polycyclic aromatic hydrocarbons in olive pomace oil by Grifo, San Remo, La Molisana from Italy",2001,9,10,ca,polycyclic aromatic hydrocarbons
110,Goodman Fielder Baking—Pampas Family Chicken and Vegetable Pie,2001,26,11,au,salmonella
111,Fresco Cheese Company Pty Ltd—Baked Ricotta Cheese,2001,29,11,au,listeria monocytogenes
112,Woolworths Limited—Home Brand Frozen Chicken Nuggets,2001,30,11,au,plastic fragment
113,Swift and Moore Pty Ltd—Kahlua and Milk,2001,4,12,au,packaging defect
114,Swan Valley Cheese Company—Fetta Cheese Products,2001,12,12,au,escherichia coli
115,KR Darling Down—Boneless Champagne Leg Ham Portions,2001,17,12,au,listeria monocytogenes
116,Withdrawal of two brands of olive-pomace oil,2002,4,1,na,polycyclic aromatic hydrocarbons
117,Red Dragon Foods Pty Ltd—Glory Brand Rice Cookies,2002,7,1,au,peanuts and products thereof
118,Golden Circle—Fruit Salad,2002,9,1,au,rubber fragments
119,Paesanella Cheese Manufacturers—Stracchino Cheese & Fresh Peccornio Cheese,2002,29,1,au,escherichia coli
120,Bi-Lo—Apricot and Raisin Cake,2002,21,2,au,mislabelled
121,Green Valley—Fresh Cheese,2002,4,3,au,listeria monocytogenes
