,title,year,day,month,country,product-category
0,Recall Notification: FSIS-024-94,1994,7,1,us,"meat, egg and dairy products"
1,Recall Notification: FSIS-033-94,1994,10,3,us,"meat, egg and dairy products"
2,Recall Notification: FSIS-014-94,1994,28,3,us,"meat, egg and dairy products"
3,Recall Notification: FSIS-009-94,1994,3,4,us,"meat, egg and dairy products"
4,Recall Notification: FSIS-001-94,1994,1,7,us,"meat, egg and dairy products"
5,Recall Notification: FSIS-044-94,1994,11,8,us,"meat, egg and dairy products"
6,Recall Notification: FSIS-005-94,1994,2,9,us,"meat, egg and dairy products"
7,Recall Notification: FSIS-045-94,1994,11,10,us,"meat, egg and dairy products"
8,Recall Notification: FSIS-018-94,1994,5,12,us,"meat, egg and dairy products"
9,Recall Notification: FSIS-026-94,1994,7,12,us,"meat, egg and dairy products"
10,Recall Notification: FSIS-002-95,1995,1,5,us,prepared dishes and snacks
11,Recall Notification: FSIS-021-95,1995,5,5,us,"meat, egg and dairy products"
12,Recall Notification: FSIS-025-95,1995,30,5,us,"meat, egg and dairy products"
13,Recall Notification: FSIS-038-95,1995,11,6,us,prepared dishes and snacks
14,Recall Notification: FSIS-041-95,1995,12,7,us,"meat, egg and dairy products"
15,Recall Notification: FSIS-006-95,1995,2,8,us,"meat, egg and dairy products"
16,Recall Notification: FSIS-003-95,1995,1,10,us,"meat, egg and dairy products"
17,Recall Notification: FSIS-009-96,1996,4,3,us,"meat, egg and dairy products"
18,Recall Notification: FSIS-017-96,1996,8,5,us,"meat, egg and dairy products"
19,Recall Notification: FSIS-024-96,1996,12,9,us,"meat, egg and dairy products"
20,Recall Notification: FSIS-023-96,1996,11,12,us,"meat, egg and dairy products"
21,Recall Notification: FSIS-006-97,1997,6,2,us,prepared dishes and snacks
22,Recall Notification: FSIS-016-97,1997,9,3,us,"meat, egg and dairy products"
23,Recall Notification: FSIS-022-97,1997,10,3,us,"meat, egg and dairy products"
24,Recall Notification: FSIS-021-97,1997,10,3,us,"meat, egg and dairy products"
25,Recall Notification: FSIS-010-97,1997,3,7,us,"meat, egg and dairy products"
26,Recall Notification: FSIS-023-97,1997,10,7,us,"meat, egg and dairy products"
27,Recall Notification: FSIS-014-97,1997,8,11,us,"meat, egg and dairy products"
28,Recall Notification: FSIS-018-97,1997,9,11,us,"meat, egg and dairy products"
29,Recall Notification: FSIS-015-97,1997,8,12,us,"meat, egg and dairy products"
30,Recall Notification: FSIS-017-97,1997,9,12,us,"meat, egg and dairy products"
31,Balfour Wauchope—Cake with Icing,1998,14,1,au,cereals and bakery products
32,Hans Continental Smallgoods—Latvian Liverwurst,1998,4,3,au,"meat, egg and dairy products"
33,Recall Notification: FSIS-011-98,1998,24,3,us,"meat, egg and dairy products"
34,Archive - ALLERGY ALERT - UNDECLARED SOY PROTEIN AND SOY LECITHIN IN DUNCAN HINES WHITE CAKE MIX,1998,26,3,ca,cereals and bakery products
35,Recall Notification: FSIS-017-98,1998,6,4,us,"meat, egg and dairy products"
36,Allfect Ltd—Ghost Drop Lollies,1998,17,4,au,confectionery
37,Recall Notification: FSIS-037-98,1998,11,5,us,"meat, egg and dairy products"
38,Recall Notification: FSIS-020-98,1998,7,6,us,"meat, egg and dairy products"
39,Alba Gelati,1998,10,6,au,ices and desserts
40,Franklins Limited—Frozen Chicken Nuggets,1998,29,6,au,"meat, egg and dairy products"
